年份,省份,城市,区县,区县代码,行政区域土地面积_平方公里,乡及镇个数_个,乡个数_个,镇个数_个,街道办事处个数_个,村民委员会个数_个,年末总户数_户,乡村户数_户,年末总人口_万人,乡村人口_万人,户籍人口数_万人,年末单位从业人员_人,城镇单位在岗职工人数_人,乡村从业人员数_人,农林牧渔业从业人员数_人,年末第二产业单位从业人员_人,年末第三产业单位从业人员_人,农业机械总动力_万千瓦特,固定电话用户_户,移动电话用户数_户,宽带接入用户数_户,地区生产总值_万元,第一产业增加值_万元,第二产业增加值_万元,工业增加值_万元,第三产业增加值_万元,农业增加值_万元,牧业增加值_万元,人均地区生产总值_元/人,城镇单位在岗职工平均工资_元,城镇居民人均可支配收入_元,农村居民人均可支配收入_元,地方财政一般预算收入_万元,各项税收_万元,地方财政一般预算支出_万元,城乡居民储蓄存款余额_万元,年末金融机构各项贷款余额_万元,出口额_美元,实际利用外资金额_美元,农作物总播种面积_千公顷,常用耕地面积_公顷,机收面积_公顷,设施农业占地面积_公顷,农用机械总动力_千万瓦,粮食总产量_吨,棉花产量_吨,油料产量_吨,肉类总产量_吨,农林牧渔业总产值_万元,规模以上工业企业数_个,规模以上工业总产值_万元,城镇固定资产投资完成额_万元,全社会固定资产投资_万元,社会消费品零售总额_万元,房地产开发投资_亿元,普通小学学校数_个,普通中学学校数_个,普通小学专任教师数_人,普通中学专任教师数_人,普通小学在校生数_人,普通中学在校学生数_人,中等职业教育学校在校学生数_人,医院、卫生院床位数_床,医院和卫生院卫生人员数_卫生技术人员_人,医院和卫生院卫生人员数_执业医师_人,各种社会福利收养性单位数_个,各种社会福利收养性单位床位数_床,全社会用电量_万千瓦时,城乡居民生活用电量_万千瓦时,废气中氮氧化物排放量_吨,废气中烟尘排放量_吨,工业废气中二氧化硫排放量_吨,艺术表演场馆数_剧场、影剧院_个,公共图书馆总藏量_千册,体育场馆机构数_个
2002,贵州省,铜仁市,沿河土家族自治县,520627,2469,22,,,,432,135748,126479,55,52.1,55.2,12096,11700,284878,191041,,,7.5,13960,,,76800,49020,9655,,18125,,,1391,9444,,1210,4008,,19731,37740,45592,,,68,26667,,,7.5,150282,,8483,26080,78600,13,5878,10435,20975,18194,0.52,214,26,2437,,83284,25488,,374,,,11,155,,,,,,,,
2003,贵州省,铜仁市,沿河土家族自治县,520627,2469,22,,,,432,135472,127720,56,53,56,12010,19600,282981,186203,,,8,16162,,,88672,56747,10920,,21005,,,1588,10068,,1283,4508,,22073,47458,35773,,,66.7,26414,,,8,172436,,9365,28640,97200,11,7511,6937,19920,20778,0.69,203,27,2380,,84427,30057,,374,,,11,160,,,,,,,,
2004,贵州省,铜仁市,沿河土家族自治县,520627,2469,22,,,,432,138059,128513,57,54,57,12595,19000,294000,193000,,,8,18724,,,103867,65068,14385,,24414,,,1842,10647,,1433,5065,,26509,59171,44507,,,67.7,26412,,,8,181385,,10277,31798,104900,10,9283,13519,37864,25140,0.79,189,27,2567,,90135,25651,,301,,,12,186,,,,,,,,
2005,贵州省,铜仁市,沿河土家族自治县,520627,2469,22,,,,405,149686,130030,57,54,57,12706,20800,300197,201409,,,9,23500,,,136193,71084,19377,,45732,,,2393,13209,,1531,5860,,36543,73950,55006,,,71.72,26412,,,9,158292,,10297,37277,112137,10,12287,48554,53458,30551,1.49,213,27,3006,,84167,32484,,365,,,12,217,,,,,,,,
2006,贵州省,铜仁市,沿河土家族自治县,520627,2469,22,,,,405,146797,132968,58,55,58,12998,22500,310622,203824,,,11,29876,,,160640,77234,29577,,53829,,,2802,14951,,1643,8036,,43396,94121,67967,,,72.39,26413,,,11,165319,,10946,41550,122015,13,15642,64448,98967,35986,1.6,213,27,3117,,88070,39701,,407,,,12,250,,,,,,,,
2007,贵州省,铜仁市,沿河土家族自治县,520627,2469,22,,,,399,145507,134317,59,56,59,12840,12100,310285,201214,,,14,33358,,,208957,104251,35076,,69630,,,2803,14951,,1643,10183,,61836,125175,104280,,,73.7,26400,,,14,195087,,11614,46089,122015,16,19586,78479,98967,35986,1.16,206,27,2798,,88491,39680,,416,,,14,284,,,,,,,,
2008,贵州省,铜仁市,沿河土家族自治县,520627,2469,22,,,,382,152130,135274,60,56.3,60.5,13433,12800,308248,193133,,,23,34860,,,232204,101946,47113,,83145,,,4320,19646,,2251,12619,,92598,154573,93298,,,72.86,26310,,,23,205025,,8934,26001,170663,14,26200,176200,180841,53225,0.7,213,27,3507,,88160,34128,,416,,,14,317,,,,,,,,
2009,贵州省,铜仁市,沿河土家族自治县,520627,2469,22,,,,382,163572,136269,63,57,63,13102,5800,311453,193492,,,23,31486,,,273924,110141,45243,,118540,,,5063,21446,,2553,15766,,104829,181593,132330,,,77.09,26305,,,23,201745,,11394,28307,176674,18,32734,241000,229545,66270,1.32,226,27,3255,,87780,40113,,446,,,16,360,,,,,,,,
2010,贵州省,铜仁市,沿河土家族自治县,520627,2484,22,,,,424,169791,141694,65,60,65,13972,14000,315454,188595,,,24,32435,,,321637,128684,51335,27400,141618,,,7007,25384,,3047,21098,,138380,219731,167730,,,77.72,26327,,,24,211864,,10782,29470,206300,19,41234,296036,283256,76978,3.17,220,34,3240,,85903,42319,,650,,,17,400,,,,,,,,
2011,贵州省,铜仁市,沿河土家族自治县,520627,2484,22,,,,430,176987,145543,66,60.9,66.1,14149,,320532,186126,,,27,32589,,,391737,139013,66421,36400,186303,,,8715,,,3713,36507,,187840,326340,211093,,,82.39,26330,,,27,135794,,11255,29548,228600,18,58370,415337,355210,91189,,224,34,3309,,84373,43690,,650,,,20,769,,,,,,,,
2012,贵州省,铜仁市,沿河土家族自治县,520627,2469,22,,,,429,184996,153582,66,61,66.24,14115,,325526,186026,,,30,35066,,,496000,164693,88700,51100,242600,,,11042,,,4370,45768,,236936,341215,253061,,,86.9,,,,30,170614,,12513,30856,272600,24,93964,785720,695786,105597,,224,34,3772,,80842,42546,,789,,,22,786,,,,,,,,
2013,贵州省,铜仁市,沿河土家族自治县,520627,2469,22,12,10,,,,,67,,66.86,,,328800,,69227,77281,31,41413,,,589630,174977,112255,-61800,297000,115055,50451,13106,,17895,5048,40789,59033,262109,433694,341090,,,,,2567,14,31,142357,,13166,32606,299600,40,209717,1093716,921574,121331,,203,37,3739,,67193,42985,10324,551,,,22,494,,,,,,,,
2014,贵州省,铜仁市,沿河土家族自治县,520627,2469,22,12,10,,,,,45,,66.84,,,330786,,69586,69099,33,15028,,,726000,198300,135291,76100,392400,134575,45660,16125,,19797,5960,36681,60413,296729,503434,406025,,,,,4294,21,33,199214,,14200,38229,331091,35,272236,1245007,1161750,150423,,203,37,3446,,62809,34390,1219,740,,,22,553,,,,,,,,
2015,贵州省,铜仁市,沿河土家族自治县,520627,2469,19,2,17,3,,,,45,,67.67,,,331054,,60688,61555,35,17126,,,845508,266000,154746,85600,424800,165914,68500,18766,,21753,5960,39089,68642,366896,575454,483656,,,,,4428,22,35,189770,,14242,33484,266038,29,324334,1451805,1378827,167872,,200,38,3381,,59023,34484,1710,1834,,,22,650,,,,,,,,
2016,贵州省,铜仁市,沿河土家族自治县,520627,2484,19,2,17,3,,,,45,,68.34,,,331925,,60486,62780,38,16832,,,928069,261491,171755,93300,494800,167391,69050,20538,,23592,7274,41830,73273,401165,676017,676075,,,,,4667,23,38,189698,,14283,32507,277069,28,324681,1889864,1889864,189074,,194,37,3533,,58600,45326,2019,1893,,,21,639,,,,,,,,
2017,贵州省,铜仁市,沿河土家族自治县,520627,2484,19,2,17,3,,,,44,,68.3,,,332904,,74388,67737,41,12606,,,1032300,286600,197500,104900,548200,186114,74277,22783,,25833,8016,47316,35614,476967,784335,798215,,,,,5475,24,41,,,16298,,296787,31,,,,212898,,180,33,3509,,56470,49330,2240,2231,,,20,1059,,,,,,,,
2018,贵州省,铜仁市,沿河土家族自治县,520627,2484,19,2,17,3,,,,43,,69.081,,,277304,,75427,69024,,13000,,,1101833,314633,204200,105700,583000,,,24409,,28184,8802,48431,,479268,918133,1087920,,,,,,281,,,,13827,,324896,35,,,,,,149,33,3587,,64055,48785,,2427,,,20,1020,,,,,,,,
2019,贵州省,铜仁市,沿河土家族自治县,520627,2484,19,2,17,3,,,,43,,69.734,,,183281,,72236,73814,,13600,,,1234510,327494,229088,143597,677928,,,27921,,30849,9741,41352,,499159,1008678,1328517,,,,,,1021,,,,12269,,339973,32,,,,,,140,32,3522,,64282,48568,,2496,,,21,1240,,,,,,,,
2020,贵州省,铜仁市,沿河土家族自治县,520627,2484,19,2,17,3,,,,43,,69.02,,,182200,,,,,13610,,,1316952,379112,234789,143703,703051,,,30655,,32330,10575,36883,,637897,1153478,1600775,,,,,,230,,,,12126,,392622,20,,,,,,137,32,3509,,50502,45410,,2521,,,20,1542,,,,,,,,
2021,贵州省,铜仁市,沿河土家族自治县,520627,2484,19,2,17,4,,,,43,,69.4,,,177867,,,,,10686,,,1445433,415360,210718,155900,819355,,,33642,,34971,11683,34989,,560498,1281514,1768311,,,,,,230,,,,12352,,430000,22,,,,,,133,32,3359,,48701,41577,,2770,,,14,724,,,,,,,,
2022,贵州省,铜仁市,沿河土家族自治县,520627,2533,19,2,17,4,,,,43,,69,,,,,,,,10686,,,1454456,437345,188017,,829094,,,34007,,36666,12507,34922,,522423,1491239,1989480,,,,,,252,,,,13671,,452200,23,,,,,,121,32,3369,,46345,40990,,3102,,,8,643,,,,,,,,
2023,贵州省,铜仁市,沿河土家族自治县,520627,2484,19,2,17,4,,,,,,69,,,,,,,,10686,,,1484987,444814,178985,,861188,,,,,,,38692,,497407,1689746,2232786,,,,,,255,,,,15657,,,16,,,,,,,,,,44168,40382,,2847,,,8,643,,,,,,,,
2000,贵州省,铜仁市,松桃苗族自治县,520628,2861,28,,,,509,140565,128645,64,59,64,16720,,353906,245977,,,7,7086,,,81872,55914,11322,,14636,,,1326,,,1214,3100,,12158,26940,46204,,,72,27170,,,7,258891,9,15562,20054,90200,17,9344,8639,,23000,0.02,354,34,2837,,98397,20842,,426,,,9,157,,,,,,,,
2001,贵州省,铜仁市,松桃苗族自治县,520628,3400,28,,,,509,139936,125861,62,60,62,13262,,369166,247036,,,8,11573,,,92843,58764,14523,,19556,,,1484,,,1242,3603,,15441,33088,50047,,,68.71,27050,,,8,257701,7,15293,26537,94700,17,12432,9731,,24300,0.15,308,34,2939,,99467,22523,,430,,,9,157,,,,,,,,
2002,贵州省,铜仁市,松桃苗族自治县,520628,2861,28,,,,509,142393,127361,63,60,63.1,16125,15300,371289,248392,,,8.5,15181,,,97309,59605,15973,,21731,,,1539,8001,,1311,4111,,19522,34372,50877,,,71,26533,,,8.5,235021,6,14562,29011,97800,17,16489,36347,19628,25727,0.07,296,36,2963,,99006,29759,,381,,,9,157,,,,,,,,
2003,贵州省,铜仁市,松桃苗族自治县,520628,3400,27,,,,509,144328,131590,64,61,64,14833,21600,377623,247200,,,8,17485,,,111909,68299,19776,,23834,,,1753,9357,,1417,4634,,22373,50275,39255,,,68.3,26346,,,8,245358,3,15521,32081,113000,17,24697,14433,37321,28170,0.14,295,37,2888,,98324,29299,,402,,,9,157,,,,,,,,
2004,贵州省,铜仁市,松桃苗族自治县,520628,2861,28,,,,507,146685,133026,64,62,64,15166,22400,381000,246000,,,7,18913,,,131730,72218,32379,,27133,,,2044,10608,,1548,5110,,27441,67988,41893,,,67.6,26337,,,7,255058,2,16448,33817,122200,19,82000,17507,44882,33049,0.13,296,37,2894,,96994,37433,,412,,,11,155,,,,,,,,
2005,贵州省,铜仁市,松桃苗族自治县,520628,3400,28,,,,507,150632,134658,65,62,65,16152,25100,386353,237911,,,8,19876,,,177135,80434,46693,,50008,,,2723,12283,,1617,6179,,38776,83459,60744,,,68.42,26335,,,8,230562,3,16827,38378,129053,25,120118,44204,44204,37897,0.33,314,37,3449,,89394,42220,,431,,,11,160,,,,,,,,
2006,贵州省,铜仁市,松桃苗族自治县,520628,3400,28,,,,507,135560,134725,66,62,66,16058,27600,386558,237711,,,8,21886,,,197880,86872,47174,,63834,,,3019,12940,,1692,7226,,44193,101876,71668,,,69.83,26336,,,8,250273,3,17992,43258,139603,29,110392,46640,65034,44003,1.99,305,37,3500,,91732,25789,,459,,,11,155,,,,,,,,
2007,贵州省,铜仁市,松桃苗族自治县,520628,3400,28,,,,507,163242,139454,68,63,68,17566,15200,397186,223960,,,18,20134,,,252416,101647,75584,,75185,,,3018,12940,,1692,9726,,61764,135817,86780,,,70.9,26400,,,18,263002,4,18590,49022,139603,30,197292,56149,65034,44003,3.86,303,37,3302,,86357,34776,,600,,,11,160,,,,,,,,
2008,贵州省,铜仁市,松桃苗族自治县,520628,2861,28,,,,423,169874,143210,69,64.3,68.8,17523,14400,397641,227815,,,19.6,21147,,,316513,128536,97322,,90655,,,5069,20555,,2279,11869,,98188,169456,104636,,,66.47,26440,,,19.6,262052,1,11761,29519,193659,46,227936,95961,141509,68357,3.46,309,41,3184,,84403,46662,,625,,,14,320,,,,,,,,
2009,贵州省,铜仁市,松桃苗族自治县,520628,3400,28,,,,507,174809,147548,70,64,70,18116,9300,403046,231068,,,21,23462,,,350237,122664,98517,,129056,,,5547,19164,,2505,14002,,119373,196925,158775,,,68.01,26438,,,21,260710,,12745,32137,192034,35,215281,181382,138163,84044,3.6,305,41,3511,,81858,47966,,674,,,14,348,,,,,,,,
2010,贵州省,铜仁市,松桃苗族自治县,520628,2859,28,,,,507,178449,148279,70,65,70,19797,19800,407537,231333,,,24,23471,,,400043,139525,119741,99300,140777,,,7986,26840,,2957,18575,,159472,257842,200878,,,68.79,26437,,,24,269061,,12826,33443,219100,27,263563,121158,201695,98665,6.84,305,41,3351,,78738,48430,,1083,,,16,609,,,,,,,,
2011,贵州省,铜仁市,松桃苗族自治县,520628,2859,28,,,,507,184806,152149,71,66.6,71.09,21007,,414072,228399,,,25,39108,,,493801,153243,161439,134900,179119,,,10158,,,3680,31641,,195215,329275,257414,,,70.42,26750,,,25,188727,,13450,33548,243300,29,336828,130498,392719,117769,,305,43,3565,,73889,47361,,1656,,,21,741,,,,,,,,
2012,贵州省,铜仁市,松桃苗族自治县,520628,2859,28,,,,503,187298,153862,71,67,70.65,22581,,419742,227525,,,38,27124,,,615600,183635,202300,172100,229700,,,12682,,,4346,44423,,264269,406467,395081,,,72.03,,,,38,226243,,14511,35038,292200,33,387853,677288,679953,136023,,303,41,4161,,60327,42439,,1768,,,25,1073,,,,,,,,
2013,贵州省,铜仁市,松桃苗族自治县,520628,2859,26,15,11,1,,,,71,,70.83,,,422100,,31040,168367,40,20581,,,728051,196425,241557,201500,284900,108010,76851,14971,,17606,4995,52425,32118,298062,544985,516495,,,,,10843,72,40,219753,,15057,37188,321700,37,555147,1130700,902006,155202,,206,41,3750,,53601,43178,2227,2224,,,19,768,,,,,,,,
2014,贵州省,铜仁市,松桃苗族自治县,520628,2859,27,15,12,1,,,,49,,71.05,,,424073,,32139,179614,42,22022,,,889300,221600,296542,246100,371200,148622,62598,18223,,19480,5915,101697,90344,313845,604213,578638,,,,,9042,97,42,237097,,15384,37826,368208,41,806421,1299038,1148705,191902,,163,39,3705,,49660,44641,2485,2856,,,20,894,,,,,,,,
2015,贵州省,铜仁市,松桃苗族自治县,520628,2859,26,15,11,1,,,,49,,72.44,,,424326,,34783,185806,42,5992,,,1034456,276700,338298,280700,419500,177570,70350,21132,,21755,5915,102421,90874,365198,633968,687127,,,,,8606,77,42,240107,,16427,38126,276661,49,1029188,1462491,1384813,213778,,141,39,3724,,47768,44046,3136,2888,,,22,975,,,,,,,,
2016,贵州省,铜仁市,松桃苗族自治县,520628,2859,23,6,17,5,,,,50,,72.66,,,425386,,35959,186543,43,41500,,,1145338,290818,372741,307200,481800,188000,83004,23319,,23835,7288,116878,51539,376003,732265,922178,,,,,8915,81,43,242194,,16635,36674,306198,60,1240703,969393,969393,241441,,143,41,3720,,47418,43670,3888,2880,,,27,2081,,,,,,,,
2017,贵州省,铜仁市,松桃苗族自治县,520628,2859,23,6,17,5,,,,49,,72.65,,,432671,,62963,71705,48,24200,,,1274600,282500,424000,347200,568100,169867,76190,25867,,26171,8068,127150,105625,426911,891284,1086900,,,,,9031,82,48,,,27410,,300828,69,,,,271863,,143,41,3806,,47097,27414,3972,2896,,,27,2179,,,,,,,,
2018,贵州省,铜仁市,松桃苗族自治县,520628,2859,23,6,17,5,,,,49,,73.054,,,406635,,66062,75399,,12000,,,1385000,315500,429600,342600,639900,,,28136,,28526,8891,64191,,422740,1008410,1328419,,,,,,157,,,,25988,,333810,63,,,,,,116,42,3785,,47759,26730,,2711,,,28,1307,,,,,,,,
2019,贵州省,铜仁市,松桃苗族自治县,520628,2859,23,6,17,5,,,,49,,73.243,,,215897,,66920,79840,,11500,,,1573700,331100,387100,303262,855500,,,32342,,31110,9847,59094,,473115,1082203,1688021,,,,,,164,,,,22186,,352370,50,,,,,,118,40,3803,,49980,38092,,3497,,,29,1322,,,,,,,,
2020,贵州省,铜仁市,松桃苗族自治县,520628,2859,23,6,17,5,,,,49,,72.99,,,216400,,,,,12300,,,1701165,399440,406564,317628,895161,,,34856,,32715,10645,46560,,550741,1196385,1723112,,,,,,177,,,,22622,,422132,47,,,,,,119,41,3747,,50858,36105,,3050,,,28,962,,,,,,,,
2021,贵州省,铜仁市,松桃苗族自治县,520628,2859,23,6,17,5,,,,48,,73.3,,,215797,,,,,10000,,,1870146,435432,437831,342700,996883,,,38627,,35431,11788,49987,,505232,1362520,2070814,,,,,,163,,,,14494,,460000,40,,,,,,119,39,3335,,50312,35737,,3050,,,27,1237,,,,,,,,
2022,贵州省,铜仁市,松桃苗族自治县,520628,2859,23,6,17,5,,,,48,,73,,,,,,,,8000,,,1886376,455975,395378,,1035023,,,39374,,37219,12560,46678,,493696,1550729,2466840,,,,,,160,,,,19418,,481500,49,,,,,,119,39,3422,,48805,36970,,2858,,,18,1088,,,,,,,,
2023,贵州省,铜仁市,松桃苗族自治县,520628,2859,23,6,17,5,,,,,,73,,,,,,,,7000,,,1964852,467929,408601,,1088322,,,,,,,55774,,553743,1729942,2692279,,,,,,154,,,,22375,,,44,,,,,,,,,,48176,36514,,2858,,,17,838,,,,,,,,
2000,贵州省,黔西南布依族苗族自治州,兴义市,522301,2911,26,,,,377,181865,143251,71,60,71,47073,,344262,280440,,,17,37729,,,273254,58290,127412,,87552,,,3835,,4727,1888,19071,,35976,139820,231294,,,,29400,,,17,241536,,6547,48879,100500,62,304374,37344,,87800,0.18,306,52,3499,2043,109227,44415,,1470,,,18,307,,,,,,,,
2001,贵州省,黔西南布依族苗族自治州,兴义市,522301,2911,26,,,,377,184324,144761,71,61,71,45085,,344007,277004,,,18,49030,,,314685,65488,152574,,96623,,,4340,,5785,1992,21042,,44683,165923,255776,,,,29650,,,18,245538,,6908,52276,110300,61,379233,37552,,97500,0.7,250,54,3682,2074,102037,46394,,1584,,,19,322,,,,,,,,
2002,贵州省,黔西南布依族苗族自治州,兴义市,522301,2911,26,,,,377,187946,152608,72,60.9,71.7,49558,48600,359399,287241,,,20.6,55241,,,368281,70175,188637,,109469,,,5031,9546,6316,2102,18476,,34658,202285,315280,,,,29796,,,20.6,223350,,6912,55770,118000,65,409710,62710,140092,109000,1.29,231,50,3694,2168,94666,51401,,2896,,,20,239,,,,,,,,
2003,贵州省,黔西南布依族苗族自治州,兴义市,522301,2911,22,,,,372,191345,146005,73,61,73,51078,80100,359897,277310,,,23,75964,,,428353,74502,225762,,128089,,,5806,12040,6373,2156,20624,,37149,238311,376474,,,,29796,,,23,247360,,8616,58169,131500,64,442561,74740,160165,124300,1.03,229,48,3529,2385,88624,53857,,1916,,,20,225,,,,,,,,
2004,贵州省,黔西南布依族苗族自治州,兴义市,522301,2911,22,,,,356,195159,148492,73,61,73,52963,86600,362700,271900,,,24,165890,,,486783,90791,246215,,149777,,,6543,12310,7355,2308,24982,,44441,292730,419975,,,,29796,,,24,255067,,10429,63276,169400,85,458476,76548,182636,145860,1.63,224,49,3582,2480,85736,55034,,2500,2240,,20,255,,,,,,,,
2005,贵州省,黔西南布依族苗族自治州,兴义市,522301,2911,22,,,,356,198358,150582,75,62,75,53644,88500,375636,270788,,,32,294845,,,606736,106393,274498,,225845,,,8088,14497,8022,2568,30599,,53662,352704,508805,,,,29353,,,32,252087,,10410,68101,186939,83,522054,136085,199015,237653,1.92,222,53,3722,2817,86205,57261,,2580,2426,,20,255,,,,,,,,
2006,贵州省,黔西南布依族苗族自治州,兴义市,522301,2911,22,,,,356,199091,150500,76,62,76,55200,95000,362677,271908,,,38,298843,,,735410,120377,323751,,291282,,,9690,16206,8707,2740,38935,,68489,462748,636711,,,,28846,,,38,257621,,11449,70213,206901,84,650868,111363,194991,271625,2.44,228,55,3986,3238,86023,59787,,2610,2435,,21,389,,,,,,,,
2007,贵州省,黔西南布依族苗族自治州,兴义市,522301,2911,22,,,,184,199091,156721,77,64,77,55807,54200,383386,265243,,,44,298960,,,882374,146406,399630,,336338,,,11573,20355,11411,3165,48307,,83935,506253,771612,,,,28800,,,44,263195,,12788,72479,252697,60,842224,190701,279385,325445,5.05,225,53,3901,3271,85030,59586,,2600,2435,,21,380,,,,,,,,
2008,贵州省,黔西南布依族苗族自治州,兴义市,522301,2911,22,,,,184,199096,158881,77,64.4,77.3,55974,54034,381316,252015,,,44.2,299125,,,1023461,135006,497168,,391287,,,13309,24540,13501,3590,62922,,127553,643519,753231,,,,28708,,,44.2,268501,,12115,37355,220997,65,1066767,360450,422500,402975,8.1,226,54,4028,3397,87121,61098,,2660,2465,,21,380,,,,,,,,
2009,贵州省,黔西南布依族苗族自治州,兴义市,522301,2911,22,,,,184,219072,158013,81,65,81,57557,53970,392763,263981,,,45,245373,,,1241919,150128,487284,,604507,,,16858,23762,14118,4059,89031,,162020,788501,1048045,,,,28569,,,45,272113,,11987,40755,242355,73,1109323,514501,527570,502016,8.88,225,52,4051,3469,84981,62281,,3617,3092,,20,253,,,,,,,,
2010,贵州省,黔西南布依族苗族自治州,兴义市,522301,2908,22,,,,184,219612,160957,81,66,81,58210,58200,402252,263629,,,46,243408,,,1416586,158728,569581,514800,688277,,,18150,25824,15001,4651,102336,,215749,906168,1281482,,,,28579,,,46,232600,,4511,42482,271900,100,1468865,571982,711323,606236,10.86,232,63,4025,3734,80824,43430,,3573,3328,,20,253,,,,,,,,
2011,贵州省,黔西南布依族苗族自治州,兴义市,522301,2937,22,,,,184,223021,167862,82,68.3,82.2,59386,,408400,267519,,,46,99868,635639,68334,1640295,169543,637057,572900,833695,,,20926,,17004,5396,160016,,295671,1062417,1618495,,,,28780,,,46,141357,,9488,42598,266500,100,1652209,1201000,,731599,17.83,232,66,3987,4230,77200,68625,,4082,3968,1385,21,279,401962,10028,,,67310,3,230,1
2012,贵州省,黔西南布依族苗族自治州,兴义市,522301,2908,22,,,,184,231552,174196,83,69,83.05,169035,,412795,263785,,,48,68680,684725,69982,2039600,205940,844000,759200,989725,,,26032,,19472,6389,245701,,410313,1222912,1932437,,,,,,,48,207744,,11636,44851,313900,159,2780268,1709920,1810000,845653,23.31,240,79,4138,4279,76871,70840,,4602,4792,1608,23,376,381062,12855,23628,72226,85774,2,236,3
2013,贵州省,黔西南布依族苗族自治州,兴义市,522301,2943,22,5,17,8,,,,83,,83.35,,,403200,,91909,85538,49,70053,722384,75300,2378023,239100,970635,856300,1168300,146772,65566,30212,,21252,7367,273192,395694,501284,1450206,2315662,,,,,1165,271,49,227457,,12122,49420,371900,107,2572334,2025057,2433100,964928,40.81,228,86,4025,4920,74413,74263,3834,4180,4059,2859,24,673,382190,12930,21264,63558,76638,2,246,2
2014,贵州省,黔西南布依族苗族自治州,兴义市,522301,2908,22,5,17,8,,,,79,,84.26,,,396366,,92936,90510,62,77569,909097,126462,2828324,307100,1066740,932300,1454500,190909,73344,35861,,23122,8190,305789,426225,529207,1637636,3007833,,,,,1859,243,62,245234,,14763,49538,479852,107,2429900,2753153,3177000,1192815,42.38,179,83,4298,5118,75001,77753,6766,4592,5304,1583,27,624,649039,137951,16968,13752,54441,2,208,2
2015,贵州省,黔西南布依族苗族自治州,兴义市,522301,2908,22,5,17,8,,,,79,,84.84,,,390179,,91128,92832,63,87595,,,3186044,347433,1153765,988500,1684846,207657,85840,40274,,25110,9042,743806,465141,626026,1904207,3510803,,,,,1952,223,63,253226,,15478,49724,347433,117,3234813,3647625,3647600,1333384,,155,78,4501,,77250,78823,6366,4666,,,27,631,,,,,,,,
2016,贵州省,黔西南布依族苗族自治州,兴义市,522301,2908,22,5,17,8,,,,93,,86.97,,,393490,,82812,111716,65,87232,,,3668973,370614,1259482,1070100,2038877,236541,98050,45363,,27245,9964,757788,524774,697288,2262914,4143092,,,,,1998,256,65,257202,,16079,48052,394224,129,3625500,3228958,3229000,1504405,,158,79,4805,,82423,83333,6213,4850,,,27,630,,,,,,,,
2017,贵州省,黔西南布依族苗族自治州,兴义市,522301,2908,22,5,17,8,,,,95,,87.87,,,394490,,134759,108197,60,92232,,,4166296,391010,1432581,1213600,2342705,253111,94987,50299,,29561,10940,709376,571002,704651,2602475,4693905,,,,,2008,463,60,,,20208,,415872,142,,,,1692316,,164,80,5185,,88645,88364,5002,5021,,,29,685,,,,,,,,
2018,贵州省,黔西南布依族苗族自治州,兴义市,522301,2908,22,5,17,8,,,,97,,89.365,,,408893,,138725,123392,,92252,,,4500726,412881,1564587,1303800,2523300,,,54043,,32369,12078,363429,,800782,2969117,5447381,,,,,,305,,,,15786,,437083,162,,,,,,161,81,5469,,95147,93510,,5066,,,16,748,,,,,,,,
2019,贵州省,黔西南布依族苗族自治州,兴义市,522301,2908,20,3,17,12,,,,99,,93.388,,,420855,,139224,138540,,90050,,,4653800,439900,1684700,1210900,2529200,,,55664,,35444,13407,337889,,986407,3216236,6905511,,,,,,130,,,,16230,,464144,164,,,,,,168,81,5750,,102826,100334,,5529,,,15,701,,,,,,,,
2020,贵州省,黔西南布依族苗族自治州,兴义市,522301,2908,20,3,17,12,,,,100,,92.94,,,408000,,,,,81455,,,4932260,481731,1763453,1244282,2687075,,,49466,,37358,14533,301621,,741415,3093642,7687548,,,,,,135,,,,18151,,507931,141,,,,,,168,80,5752,,106887,102104,,7181,,,13,784,,,,,,,,
2021,贵州省,黔西南布依族苗族自治州,兴义市,522301,2908,20,3,17,12,,,,100,,93.7,,,391933,,,,,83654,,,5483979,510990,1956353,1391100,3016637,,,54597,,40608,16016,381479,,753993,3827010,8563559,,,,,,160,,,,17772,,540000,146,,,,,,167,81,6060,,109601,106843,,6955,,,13,865,,,,,,,,
2022,贵州省,黔西南布依族苗族自治州,兴义市,522301,2908,20,3,17,12,,,,101,,95,,,,,,,,72722,,,5465400,536600,1829000,,3099800,,,54244,,42329,17023,377588,,777144,4359338,9608877,,,,,,160,,,,16600,,567100,156,,,,,,164,85,5987,,106578,106361,,8210,,,11,641,,,,,,,,
